상품명,제조사,평균가격,조사일,상품명_로마자
국순당 우국생(750ml),국순당,2107.093425605536,2025-07-04,gugsundang ugugsaeng(750ml)
그린핑거 촉촉한자연보습 베이비로션(320ml),유한킴벌리,25198.671096345515,2025-07-04,geulinpinggeo chogchoghanja-yeonboseub be-ibilosyeon(320ml)
김밥용 크래미(120g),한성기업,3118.3410138248846,2025-07-04,gimbab-yong keulaemi(120g)
김천 금물쌀(10kg),농업회사법인(주)건양,32900.0,2025-07-04,gimcheon geummul-ssal(10kg)
깨끗한나라 물티슈 캡형(70매*6개입),깨끗한나라,8757.734806629835,2025-07-04,kkae-kkeushannala multisyu kaebhyeong(70mae*6gae-ib)
깨끗한나라 순수 소프티 미용티슈(260매*6입),깨끗한나라,17518.15068493151,2025-07-04,kkae-kkeushannala sunsu sopeuti mi-yongtisyu(260mae*6ib)
깨끗한나라 순수 시그니쳐 3겹(30롤),깨끗한나라,25833.33333333333,2025-07-04,kkae-kkeushannala sunsu sigeunichyeo 3gyeob(30lol)
깨수깡(160ml),롯데칠성음료,2325.729442970822,2025-07-04,kkaesu-kkang(160ml)
깻잎(100g),일반,4047.586206896552,2025-07-04,kkaes-ip(100g)
남양 17차 티백(80개입),남양유업,7282.279792746114,2025-07-04,nam-yang 17cha tibaeg(80gae-ib)
남양 아인슈타인 무항생제 우유(900ml),남양유업,3605.096525096525,2025-07-04,nam-yang a-insyuta-in muhangsaengje u-yu(900ml)
남양유업 맛있는우유GT(900ml),남양유업,3056.4590542099195,2025-07-04,nam-yang-yu-eob mas-issneun-u-yugt(900ml)
너구리(5개입),농심,4656.22848200313,2025-07-04,neoguli(5gae-ib)
네스카페 수프리모 골드 마일드 커피믹스(240개입),한국네슬레,40591.66666666666,2025-07-04,neseukape supeulimo goldeu ma-ildeu keopimigseu(240gae-ib)
농심 새우깡(90g),농심,1338.8508287292818,2025-07-04,nongsim sae-u-kkang(90g)
농심 신라면 큰사발면(114g),농심,1312.138364779874,2025-07-04,nongsim sinlamyeon keunsabalmyeon(114g)
뉴트로지나 립(2번들),한국존슨앤존슨,7878.125,2025-07-04,nyuteulojina lib(2beondeul)
느타리버섯(100g),일반,719.7142857142857,2025-07-04,neutalibeoseos(100g)
니베아 립 모이스춰 케어(4.8g),바이어스도르프코리아,5499.657853810264,2025-07-04,nibe-a lib mo-iseuchwo ke-eo(4.8g)
니베아 립 에센셜 케어(4.8g),바이어스도르프코리아,5341.500559910414,2025-07-04,nibe-a lib esensyeol ke-eo(4.8g)
니베아 선 페이스 영에이지 크림(50ml),바이어스도르프코리아,15757.317073170732,2025-07-04,nibe-a seon pe-iseu yeong-e-iji keulim(50ml)
니베아 퍼펙트 선 세럼(90ml),바이어스도르프코리아,15572.666666666666,2025-07-04,nibe-a peopegteu seon seleom(90ml)
다우니 고농축 섬유유연제 프레시클린(2L),한국피앤지,19545.185185185182,2025-07-04,da-uni gonongchug seom-yu-yu-yeonje peulesikeullin(2l)
닥터아토 손소독티슈(20매),보령메디앙스,1600.0,2025-07-04,dagteo-ato sonsodogtisyu(20mae)
닥터아토 트리플 히알루론 모이스춰 로션(310ml),보령메디앙스,23821.42857142857,2025-07-04,dagteo-ato teulipeul hi-allulon mo-iseuchwo losyeon(310ml)
닥터유 에너지바(40g),오리온,1062.1483942414177,2025-07-04,dagteo-yu eneojiba(40g)
닥터유 에너지바(4개입),오리온,4257.614503816794,2025-07-04,dagteo-yu eneojiba(4gae-ib)
단팥이 가득 단팥빵(3개입),삼립식품,4479.121387283237,2025-07-04,danpat-i gadeug danpatppang(3gae-ib)
달콤한 베지밀 비(16팩),정식품,15165.437788018431,2025-07-04,dalkomhan bejimil bi(16paeg)
달콤한 삼육두유 B(16팩),삼육식품,10987.53846153846,2025-07-04,dalkomhan sam-yugdu-yu b(16paeg)
달콤한 정통만쥬(10개입),롯데웰푸드,4329.691991786448,2025-07-04,dalkomhan jeongtongmanjyu(10gae-ib)
담미정 조청유과(200g),농업회사법인성진식품,8553.306451612903,2025-07-04,dammijeong jocheong-yugwa(200g)
담미정약과(200g),농업회사법인성진식품,2780.0,2025-07-04,dammijeong-yaggwa(200g)
"당근(흙당근, 100g)",일반,517.969696969697,2025-07-04,"danggeun(heulgdanggeun, 100g)"
당진 해나루쌀 특등급(10kg),당진시농협쌀조합공동사업법인,39900.0,2025-07-04,dangjin haenalu-ssal teugdeunggeub(10kg)
당찬진미 특등급(10kg),당진시농협쌀조합공동사업법인,33800.0,2025-07-04,dangchanjinmi teugdeunggeub(10kg)
대림 게맛살 큰잔치(300g),사조대림,2894.6376811594205,2025-07-04,daelim gemas-sal keunjanchi(300g)
대림선 신선한 김밥단무지(400g),사조대림,2193.333333333333,2025-07-04,daelimseon sinseonhan gimbabdanmuji(400g)
대림선어묵 부산어묵 마당놀이(300g),사조대림,2977.4576271186443,2025-07-04,daelimseon-eomug busan-eomug madangnol-i(300g)
대왕님표 여주 진상미(10kg),여주시농협조합공동사업법인,50581.25,2025-07-04,dae-wangnimpyo yeoju jinsangmi(10kg)
대왕님표 여주 진상미(4kg),여주시농협조합공동사업법인,23899.0099009901,2025-07-04,dae-wangnimpyo yeoju jinsangmi(4kg)
대일밴드 혼합형(21매),대일화학공업,1256.3492063492065,2025-07-04,dae-ilbaendeu honhabhyeong(21mae)
"대파(흙대파, 500~800g)",일반,2850.0714285714284,2025-07-04,"daepa(heulgdaepa, 500~800g)"
대하(100g),일반,3300.0,2025-07-04,daeha(100g)
대한웰빙호일(25cm*30m),대한웰빙은박,6780.0,2025-07-04,daehan-welbingho-il(25cm*30m)
대한웰빙호일(30cm*30m),대한웰빙은박,8877.410071942446,2025-07-04,daehan-welbingho-il(30cm*30m)
더 건강한 그릴후랑크(600g),CJ제일제당,8668.487261146496,2025-07-04,deo geonganghan geulilhulangkeu(600g)
더 탱글 마이구미(372.4g),오리온,5014.726027397261,2025-07-04,deo taenggeul ma-igumi(372.4g)
덴마크 대니쉬우유 오리지널(900ml),동원에프앤비,2992.299465240642,2025-07-04,denmakeu daeniswi-u-yu olijineol(900ml)
덴마크 산양우유(750ml),동원에프앤비,7047.006578947368,2025-07-04,denmakeu san-yang-u-yu(750ml)
덴마크 짜지않은 치즈 오리지널(14매),동원,7568.957055214724,2025-07-04,denmakeu jjaji-anh-eun chijeu olijineol(14mae)
델몬트 오렌지(1.5L),롯데칠성음료,4841.459627329193,2025-07-04,delmonteu olenji(1.5l)
델몬트 후레쉬컷 슬라이스 파인애플(836g),삼경프라자,5129.580645161291,2025-07-04,delmonteu huleswikeos seulla-iseu pa-in-aepeul(836g)
도브 뷰티 너리싱 바디워시(1L),유니레버코리아,10956.31751227496,2025-07-04,dobeu byuti neolising badi-wosi(1l)
도브 센서티브 뷰티바(4개),유니레버코리아,6518.926654740609,2025-07-04,dobeu senseotibeu byutiba(4gae)
도브 센스티브 스킨 바디워시(1L),유니레버코리아,10853.108108108108,2025-07-04,dobeu senseutibeu seukin badi-wosi(1l)
동서 벌꿀(600g),동서식품,21068.219696969696,2025-07-04,dongseo beolkkul(600g)
동서 벌꿀(900g),동서식품,30580.0,2025-07-04,dongseo beolkkul(900g)
동서현미녹차(100개입),동서식품,9323.809001097696,2025-07-04,dongseohyeonminogcha(100gae-ib)
동원 낙지젓(180g),동원산업,6998.392857142857,2025-07-04,dong-won nagjijeos(180g)
동원 싱싱맛살 실속(500g),동원에프앤비,4410.816326530612,2025-07-04,dong-won singsingmas-sal silsog(500g)
동원 양반 쇠고기죽(287.5g),동원에프앤비,3940.578231292517,2025-07-04,dong-won yangban soegogijug(287.5g)
동원 양반 전복죽(287.5g),동원에프앤비,3954.076517150396,2025-07-04,dong-won yangban jeonbogjug(287.5g)
동원 카놀라유(850ml),동원에프앤비,8732.142857142857,2025-07-04,dong-won kanolla-yu(850ml)
동원 퀴진 크리스피 돈까스 통등심(480g),동원에프앤비,9456.861167002013,2025-07-04,dong-won kwijin keuliseupi donkkaseu tongdeungsim(480g)
동원 포도씨유(850ml),동원에프앤비,14389.411764705885,2025-07-04,dong-won podo-ssi-yu(850ml)
동원 황도 슬라이스(400g),동원에프앤비,3447.375886524823,2025-07-04,dong-won hwangdo seulla-iseu(400g)
동원참치 라이트스탠다드(150g),동원,2768.7671232876714,2025-07-04,dong-wonchamchi la-iteuseutaendadeu(150g)
동원참치 라이트스탠다드(4캔),동원,9619.488076311603,2025-07-04,dong-wonchamchi la-iteuseutaendadeu(4kaen)
돼지고기 목살(100g),일반,3594.264705882353,2025-07-04,dwaejigogi mogsal(100g)
돼지고기 삼겹살(100g),삼겹살,3615.0,2025-07-04,dwaejigogi samgyeobsal(100g)
돼지바(70ml),롯데푸드,675.5716878402903,2025-07-04,dwaejiba(70ml)
듀라셀 울트라 알카라인 건전지 AA(4개입),엠큐네트웍스,8492.405063291139,2025-07-04,dyulasel ulteula alkala-in geonjeonji aa(4gae-ib)
듀라셀 울트라 알카라인 건전지 AAA(4개입),엠큐네트웍스,8476.72131147541,2025-07-04,dyulasel ulteula alkala-in geonjeonji aaa(4gae-ib)
드봉 스위트로즈(4개),LG생활건강,5855.272727272727,2025-07-04,deubong seu-witeulojeu(4gae)
드빈치 뼈가튼튼 고칼슘치즈(15매),남양유업,7614.558404558405,2025-07-04,deubinchi ppyeogateunteun gokalsyumchijeu(15mae)
들기름 재래 도시락김(12팩),풀무원,7919.0053763440865,2025-07-04,deulgileum jaelae dosilaggim(12paeg)
디펜드 스타일 언더웨어 남성용 파워 대형(8개입),유한킴벌리,13157.090069284064,2025-07-04,dipendeu seuta-il eondeo-we-eo namseong-yong pa-wo daehyeong(8gae-ib)
디펜드 스타일 언더웨어 여성용 파워 대형(8개입),유한킴벌리,12288.35423197492,2025-07-04,dipendeu seuta-il eondeo-we-eo yeoseong-yong pa-wo daehyeong(8gae-ib)
때가 쏙 비트 분말세제(6kg),CJ라이온,17900.0,2025-07-18,ttaega ssog biteu bunmalseje(6kg)
떠먹는 불가리스 딸기(4개),남양유업,3980.0,2025-07-04,tteomeogneun bulgaliseu ttalgi(4gae)
라이프리 안심 언더웨어 일반용 대형(18개입),엘지유니참,27830.69498069498,2025-07-04,la-ipeuli ansim eondeo-we-eo ilban-yong daehyeong(18gae-ib)
랩신 핸드워시 센서티브(250ml),애경,6685.454545454545,2025-07-04,laebsin haendeu-wosi senseotibeu(250ml)
레드불 에너지 드링크(250ml),동서식품,2435.1290322580644,2025-07-04,ledeubul eneoji deulingkeu(250ml)
레디큐 드링크(100ml),한독,5000.0,2025-07-04,ledikyu deulingkeu(100ml)
려 우아채 멋내기새치크림 짙은 갈색(120g),아모레퍼시픽,8959.718309859154,2025-07-04,lyeo u-achae meosnaegisaechikeulim jit-eun galsaeg(120g)
려 함빛 극손상앤영양 샴푸(480ml),아모레퍼시픽,11393.162939297124,2025-07-04,lyeo hambich geugsonsang-aen-yeong-yang syampu(480ml)
려 함빛 극손상앤영양 트리트먼트(300ml),아모레퍼시픽,9752.913385826772,2025-07-04,lyeo hambich geugsonsang-aen-yeong-yang teuliteumeonteu(300ml)
롯데 ABC 초코(187g),롯데제과,6175.291603053435,2025-07-04,losde abc choko(187g)
롯데 목캔디 허브민트(217g),롯데제과,4336.430817610063,2025-07-04,losde mogkaendi heobeuminteu(217g)
롯데 미니꿀호떡(16개입),롯데웰푸드,4110.506329113924,2025-07-04,losde mini-kkulho-tteog(16gae-ib)
롯데 빅가나 마일드(110g),롯데제과,4197.0276008492565,2025-07-04,losde biggana ma-ildeu(110g)
롯데 쉐푸드 등심 통돈까스(300g),롯데웰푸드,9368.127853881278,2025-07-04,losde swepudeu deungsim tongdonkkaseu(300g)
롯데 월드콘 바닐라(160ml),롯데제과,1279.8168498168498,2025-07-04,losde woldeukon banilla(160ml)
롯데 자일리톨 오리지날(52g),롯데제과,2957.102564102564,2025-07-04,losde ja-illitol olijinal(52g)
롯데 핫식스(250ml),롯데칠성음료,1047.9396984924624,2025-07-04,losde has-sigseu(250ml)
리스테린 쿨민트(750ml),한국존슨앤존슨,9363.084112149532,2025-07-04,liseutelin kulminteu(750ml)
리엔 흑모비책크림염색 자연갈색(120g),LG생활건강,9629.776,2025-07-04,li-en heugmobichaegkeulim-yeomsaeg ja-yeongalsaeg(120g)
"마늘(깐마늘, 100g)",일반,1920.2702702702704,2025-07-04,"maneul(kkanmaneul, 100g)"
마미손 고무장갑 중(2세트),마미손,4880.0,2025-07-04,mamison gomujanggab jung(2seteu)
마주앙 레드(750ml),롯데주류,15900.0,2025-07-04,maju-ang ledeu(750ml)
맘마밀 안심이유식 녹황채소와 소고기(100g),매일유업,2980.3041825095056,2025-07-04,mammamil ansim-i-yusig noghwangchaeso-wa sogogi(100g)
맘마밀 안심이유식 표고버섯과소고기(100g),매일유업,2975.625,2025-07-04,mammamil ansim-i-yusig pyogobeoseosgwasogogi(100g)
맛있는라면(5개입),삼양식품,4558.991935483871,2025-07-04,mas-issneunlamyeon(5gae-ib)
매일 소화가 잘되는 우유(930ml),매일유업,3632.760834670947,2025-07-04,mae-il sohwaga jaldoeneun u-yu(930ml)
매일두유 99.9(12팩),매일유업,10302.82258064516,2025-07-04,mae-ildu-yu 99.9(12paeg)
매일우유 오리지널(900ml),매일유업,3126.811111111111,2025-07-04,mae-il-u-yu olijineol(900ml)
매일유업 뼈로가는 칼슘치즈(270g),매일유업,8565.63055062167,2025-07-04,mae-il-yu-eob ppyeologaneun kalsyumchijeu(270g)
맥스 부탄가스(4개),맥선,6991.2890625,2025-07-04,maegseu butangaseu(4gae)
맥스웰 하우스 오리지날(180개입),동서식품,22850.91911764706,2025-07-04,maegseu-wel ha-useu olijinal(180gae-ib)
맥심 모카골드 마일드(200개입),동서식품,35575.29761904762,2025-07-04,maegsim mokagoldeu ma-ildeu(200gae-ib)
맥심 모카골드 제로슈거(50개입),동서식품,14150.11217948718,2025-07-04,maegsim mokagoldeu jelosyugeo(50gae-ib)
맥심 슈프림골드 커피믹스(170개입),동서식품,35240.604026845635,2025-07-04,maegsim syupeulimgoldeu keopimigseu(170gae-ib)
맥심 티오피 마스터 라떼(275ml),동서식품,2148.5698324022346,2025-07-04,maegsim ti-opi maseuteo la-tte(275ml)
맥심 화이트골드 커피믹스(250개입),동서식품,40143.89312977099,2025-07-04,maegsim hwa-iteugoldeu keopimigseu(250gae-ib)
머거본 알땅콩(135g),머거본,5000.0,2025-07-04,meogeobon al-ttangkong(135g)
메디안 치석 치약 오리지널(3개),아모레퍼시픽,9618.515625,2025-07-04,medi-an chiseog chi-yag olijineol(3gae)
메로나(75ml),빙그레,674.0183486238532,2025-07-04,melona(75ml)
메소드 주방세제 핑크(532ml),LG생활건강,7490.0,2025-07-04,mesodeu jubangseje pingkeu(532ml)
모나리자 보타닉포레 프레스티지 3겹(30롤),모나리자,23900.0,2025-07-04,monalija botanigpole peuleseutiji 3gyeob(30lol)
목초를 먹고 자란 건강한 닭이 낳은 달걀(대란 15개),풀무원,8783.370429252782,2025-07-04,mogcholeul meoggo jalan geonganghan dalg-i nah-eun dalgyal(daelan 15gae)
몬스터 에너지(355ml),코카콜라음료,2374.491620111732,2025-07-04,monseuteo eneoji(355ml)
"몰리스 쉬야응가 3~4회용 패드(L, 35매)",이마트,22247.71784232365,2025-07-04,"molliseu swi-ya-eungga 3~4hoe-yong paedeu(l, 35mae)"
"몰리스픽 반려견 패드(L, 45매)",이마트,8500.0,2025-07-04,"molliseupig banlyeogyeon paedeu(l, 45mae)"
몽쉘 생크림케이크 오리지널(408g),롯데제과,5530.1716068642745,2025-07-04,mongswel saengkeulimke-ikeu olijineol(408g)
"무(줄기 없는 무, 1.5kg)",일반,3567.3859649122805,2025-07-04,"mu(julgi eobsneun mu, 1.5kg)"
무균무때 세정제 욕실용(900ml),피죤,5955.850746268657,2025-07-04,mugyunmu-ttae sejeongje yogsil-yong(900ml)
물먹는하마(3개입),옥시레킷벤키저,4945.454545454545,2025-07-04,mulmeogneunhama(3gae-ib)
미닛메이드 오렌지(1.5L),코카콜라음료,4847.692307692308,2025-07-04,minisme-ideu olenji(1.5l)
미쟝센 쉽고빠른거품염색 3N 흑갈색(80g),아모레퍼시픽,14291.772151898736,2025-07-04,mijyangsen swibgo-ppaleungeopum-yeomsaeg 3n heuggalsaeg(80g)
미쟝센 퍼펙트 세럼 트리트먼트(330ml),아모레퍼시픽,11811.98073836276,2025-07-04,mijyangsen peopegteu seleom teuliteumeonteu(330ml)
미쟝센 퍼펙트 오리지널 세럼 샴푸(680ml),아모레퍼시픽,11862.51968503937,2025-07-04,mijyangsen peopegteu olijineol seleom syampu(680ml)
바로 먹는 그라브락스 연어(150g),선도씨푸드,11900.0,2025-07-04,balo meogneun geulabeulagseu yeon-eo(150g)
바른고을 의성진쌀(10kg),의성군농협쌀조합공동사업법인,35900.0,2025-07-04,baleungo-eul uiseongjinssal(10kg)
바리스타룰스 콜드브루 블랙(325ml),매일유업,3192.765273311897,2025-07-04,baliseutalulseu koldeubeulu beullaeg(325ml)
바세린 데일리 선크림(50ml),유니레버코리아,8360.583941605839,2025-07-04,baselin de-illi seonkeulim(50ml)
바세린 립테라피 스틱 오리지널(4.8g),유니레버코리아,4066.9565217391305,2025-07-04,baselin libtelapi seutig olijineol(4.8g)
바이오 플레인 요거트(4개),매일유업,3980.0,2025-07-04,ba-i-o peulle-in yogeoteu(4gae)
박카스맛 젤리(50g),동아제약,1474.1322314049587,2025-07-04,bagkaseumas jelli(50g)
밥이보약 CAT 걱정없는 헤어볼(2kg),하림펫푸드,29781.615384615383,2025-07-04,bab-ibo-yag cat geogjeong-eobsneun he-eobol(2kg)
밥이보약 DOG 튼튼한관절(2kg),하림펫푸드,27736.958174904943,2025-07-04,bab-ibo-yag dog teunteunhangwanjeol(2kg)
배추(1.5~2kg),일반,5770.685185185185,2025-07-04,baechu(1.5~2kg)
백설 5가지 재료 부침가루(1kg),CJ제일제당,3966.758513931889,2025-07-04,baegseol 5gaji jaelyo buchimgalu(1kg)
백설 갈색설탕(1kg),CJ제일제당,3173.434190620272,2025-07-04,baegseol galsaegseoltang(1kg)
백설 건강발효 사과식초(800ml),CJ제일제당,4564.245045045045,2025-07-04,baegseol geongangbalhyo sagwasigcho(800ml)
백설 건강발효 현미식초(800ml),CJ제일제당,4583.448275862069,2025-07-04,baegseol geongangbalhyo hyeonmisigcho(800ml)
백설 고소함가득 참기름(320ml),CJ제일제당,10417.902813299232,2025-07-04,baegseol gosohamgadeug chamgileum(320ml)
백설 구운소금(500g),CJ제일제당,2740.8,2025-07-04,baegseol gu-unsogeum(500g)
백설 그릴 비엔나(560g),CJ제일제당,8985.780141843972,2025-07-04,baegseol geulil bi-enna(560g)
백설 박력 밀가루(1kg),CJ제일제당,2638.694316436252,2025-07-04,baegseol baglyeog milgalu(1kg)
백설 브라운 자일로스 설탕(1kg),CJ제일제당,4974.969230769231,2025-07-04,baegseol beula-un ja-illoseu seoltang(1kg)
백설 소면(900g),CJ제일제당,3227.6470588235293,2025-07-04,baegseol somyeon(900g)
백설 쇠고기 다시다(300g),CJ제일제당,9584.430769230768,2025-07-04,baegseol soegogi dasida(300g)
백설 요리 올리고당(1.2kg),CJ제일제당,5232.65306122449,2025-07-04,baegseol yoli olligodang(1.2kg)
백설 자른 햇당면(300g),CJ제일제당,3279.853658536585,2025-07-04,baegseol jaleun haesdangmyeon(300g)
백설 자일로스 설탕(1kg),CJ제일제당,4645.288966725044,2025-07-04,baegseol ja-illoseu seoltang(1kg)
백설 중력 밀가루(1kg),CJ제일제당,2006.541850220264,2025-07-04,baegseol junglyeog milgalu(1kg)
백설 찰밀가루(1kg),CJ제일제당,2749.4744976816078,2025-07-04,baegseol chalmilgalu(1kg)
백설 카놀라유(900ml),CJ제일제당,7380.195121951219,2025-07-04,baegseol kanolla-yu(900ml)
백설 콩기름(1.5L),CJ제일제당,7626.741573033708,2025-07-04,baegseol konggileum(1.5l)
백설 파스타(500g),CJ제일제당,2879.460784313725,2025-07-04,baegseol paseuta(500g)
백설 포도씨유(900ml),CJ제일제당,15096.279809220983,2025-07-04,baegseol podo-ssi-yu(900ml)
백설 하얀설탕(1kg),CJ제일제당,2612.0678336980304,2025-07-04,baegseol ha-yanseoltang(1kg)
백설 햄스빌 두툼한 굿베이컨(340g),CJ제일제당,8530.837438423645,2025-07-04,baegseol haemseubil dutumhan gusbe-ikeon(340g)
백설 햄스빌 베이컨(330g),CJ제일제당,10002.07130730051,2025-07-04,baegseol haemseubil be-ikeon(330g)
백설 흑설탕(1kg),CJ제일제당,3357.750385208012,2025-07-04,baegseol heugseoltang(1kg)
버터롤 클래식(21개입),삼립식품,5520.408653846154,2025-07-04,beoteolol keullaesig(21gae-ib)
벡셀 알카라인 건전지 AA(4개입),벡셀,7400.0,2025-07-04,begsel alkala-in geonjeonji aa(4gae-ib)
벡셀 알카라인 건전지 AAA(4개입),벡셀,7400.0,2025-07-04,begsel alkala-in geonjeonji aaa(4gae-ib)
벨먼 포켓몬 UV 피카츄 선크림(50ml),LG생활건강,12900.0,2025-07-04,belmeon pokesmon uv pikachyu seonkeulim(50ml)
보노 콘스프(3개입),농심,3875.2960893854743,2025-07-04,bono konseupeu(3gae-ib)
보노 포르치니버섯스프(3개입),농심,3873.58574610245,2025-07-04,bono poleuchinibeoseos-seupeu(3gae-ib)
복음자리 딸기잼(380g),복음자리,6955.691056910569,2025-07-04,bog-eumjali ttalgijaem(380g)
부세(200~400g),일반,6340.833333333333,2025-07-04,buse(200~400g)
불가리스 사과(4개),남양유업,6012.592592592592,2025-07-04,bulgaliseu sagwa(4gae)
불릴필요없는 병아리콩(2kg),농업회사법인대상,9990.0,2025-07-04,bullilpil-yo-eobsneun byeong-alikong(2kg)
불릴필요없는 현미(2kg),농업회사법인월드그린,9980.0,2025-07-04,bullilpil-yo-eobsneun hyeonmi(2kg)
비비고 사골곰탕(500g),CJ제일제당,1984.657097288676,2025-07-04,bibigo sagolgomtang(500g)
비비고 왕교자(1.12kg),CJ제일제당,9994.55399061033,2025-07-04,bibigo wanggyoja(1.12kg)
비비고 육개장(500g),CJ제일제당,6156.086387434555,2025-07-04,bibigo yuggaejang(500g)
비비고 포기배추김치(3.3kg),CJ제일제당,34883.09859154929,2025-07-04,bibigo pogibaechugimchi(3.3kg)
비타500 젤리(48g),광동제약,1500.0,2025-07-04,bita500 jelli(48g)
비타500(10개입),광동제약,8704.52865064695,2025-07-04,bita500(10gae-ib)
비타파워(20개입),롯데칠성음료,10423.808,2025-07-04,bitapa-wo(20gae-ib)
빅토리아 탄산수 플레인(500ml),웅진식품,953.103448275862,2025-07-04,bigtoli-a tansansu peulle-in(500ml)
빙그레 더단백 프로틴 드링크 초코(250ml),빙그레,2061.062176165803,2025-07-04,binggeule deodanbaeg peulotin deulingkeu choko(250ml)
빙그레 떡붕어 싸만코(150ml),빙그레,1337.9920477137175,2025-07-04,binggeule tteogbung-eo ssamanko(150ml)
사조참치 살코기 안심따개(4캔),사조대림,8149.2150170648465,2025-07-04,sajochamchi salkogi ansimttagae(4kaen)
산양분유 시그니처 1단계(800g),일동후디스,49636.1797752809,2025-07-04,san-yangbun-yu sigeunicheo 1dangye(800g)
삼다수(2L),광동제약,1159.5166858457997,2025-07-04,samdasu(2l)
삼다수(2L*6개),광동제약,7088.454258675079,2025-07-04,samdasu(2l*6gae)
삼다수(500ml),광동제약,535.1750547045951,2025-07-04,samdasu(500ml)
